id;day;month;year;hour;min;sec;lat;long
1048-a;2;3;2014;20;24;58;53.728608;-106.672228
1048-a;2;3;2014;21;24;13;53.738996;-106.653519
1048-a;2;3;2014;22;23;36;53.740483;-106.653413
1048-a;2;3;2014;23;23;37;53.763043;-106.654554
1048-a;3;3;2014;3;0;35;53.762299;-106.654173
1048-a;3;3;2014;6;0;48;53.761115;-106.652311
1048-a;3;3;2014;9;0;35;53.760923;-106.65235
1048-a;3;3;2014;12;1;3;53.76091;-106.652203
1048-a;3;3;2014;15;0;35;53.760961;-106.6524
1048-a;3;3;2014;18;0;35;53.760958;-106.652348
1048-a;3;3;2014;21;0;48;53.76107;-106.65244
1048-a;4;3;2014;0;1;22;53.761615;-106.650611
1048-a;4;3;2014;3;0;35;53.760485;-106.654531
1048-a;4;3;2014;6;1;22;53.762473;-106.650609
1048-a;4;3;2014;9;0;43;53.762452;-106.650762
1048-a;4;3;2014;12;0;35;53.762456;-106.650813
1048-a;4;3;2014;15;0;35;53.761272;-106.653286
1048-a;4;3;2014;18;0;35;53.757037;-106.639233
1048-a;4;3;2014;21;0;35;53.757041;-106.639243
1048-a;5;3;2014;0;0;35;53.758777;-106.642101
1048-a;5;3;2014;1;0;8;53.753859;-106.640209
1048-a;5;3;2014;2;0;12;53.753801;-106.640038
1048-a;5;3;2014;3;0;46;53.753842;-106.640252
1048-a;5;3;2014;4;0;7;53.753874;-106.640329
1048-a;5;3;2014;5;0;7;53.75389;-106.640273
1048-a;5;3;2014;6;0;46;53.753928;-106.640285
1048-a;5;3;2014;7;0;6;53.754236;-106.639816
1048-a;5;3;2014;8;0;46;53.75427;-106.639779
1048-a;5;3;2014;9;0;40;53.754237;-106.639794
1048-a;5;3;2014;10;0;23;53.754298;-106.639825
1048-a;5;3;2014;11;0;34;53.754256;-106.639727
1048-a;5;3;2014;12;0;46;53.754286;-106.639786
1048-a;5;3;2014;13;0;21;53.754287;-106.639569
1048-a;5;3;2014;14;0;7;53.753727;-106.639712
1048-a;5;3;2014;15;0;43;53.754881;-106.63653
1048-a;5;3;2014;16;0;12;53.754831;-106.636485
1048-a;5;3;2014;17;0;35;53.754878;-106.636488
1048-a;5;3;2014;18;0;7;53.754893;-106.636483
1048-a;5;3;2014;19;0;46;53.754836;-106.636506
1048-a;5;3;2014;20;0;10;53.754938;-106.636512
1048-a;5;3;2014;21;0;34;53.754933;-106.636565
1048-a;5;3;2014;22;0;28;53.754893;-106.636451
1048-a;5;3;2014;23;0;35;53.754848;-106.636525
1048-a;6;3;2014;0;0;46;53.756105;-106.634699
1048-a;6;3;2014;1;0;8;53.75607;-106.63474
1048-a;6;3;2014;2;0;21;53.756089;-106.634709
1048-a;6;3;2014;3;0;36;53.756115;-106.634674
1048-a;6;3;2014;4;0;7;53.756086;-106.634725
1048-a;6;3;2014;5;0;7;53.756099;-106.634729
1048-a;6;3;2014;6;0;46;53.757013;-106.634883
1048-a;6;3;2014;7;0;6;53.757061;-106.634975
1048-a;6;3;2014;8;0;34;53.758905;-106.638288
1048-a;6;3;2014;9;0;46;53.759039;-106.638304
1048-a;6;3;2014;10;0;7;53.758877;-106.638321
1048-a;6;3;2014;11;0;35;53.758905;-106.638308
1048-a;6;3;2014;12;0;35;53.758905;-106.63831
1048-a;6;3;2014;13;0;18;53.758899;-106.638293
1048-a;6;3;2014;14;0;7;53.758967;-106.638422
1048-a;6;3;2014;15;0;46;53.758878;-106.638292
1048-a;6;3;2014;16;0;7;53.758867;-106.63829
1048-a;6;3;2014;17;0;9;53.758797;-106.638267
1048-a;6;3;2014;18;0;46;53.758937;-106.639176
1048-a;6;3;2014;19;0;6;53.758869;-106.639183
1048-a;6;3;2014;20;0;9;53.758849;-106.63911
1048-a;6;3;2014;21;0;46;53.758854;-106.639131
1048-a;6;3;2014;22;0;11;53.758939;-106.639172
1048-a;6;3;2014;23;0;34;53.758833;-106.639275
1048-a;7;3;2014;0;0;34;53.758936;-106.639054
1048-a;7;3;2014;1;0;7;53.758885;-106.639173
1048-a;7;3;2014;2;0;7;53.760874;-106.640925
1048-a;7;3;2014;3;0;45;53.762416;-106.65081
1048-a;7;3;2014;4;0;7;53.761197;-106.651962
